user_id,click_num,collect_num,cart_num,last_visit,login_days
U0058,1,0,0,2024-9-29,10
U0059,16,0,19,2024-7-15,19
U0060,10,11,5,2024-8-10,7
U0061,14,15,14,2024-3-25,30
U0062,10,8,5,2024-2-4,15
U0063,7,6,0,2024-7-11,13
U0064,24,5,18,2024-9-23,21
U0065,23,3,2,2024-2-13,11
U0066,14,3,12,2024-1-14,2
U0067,19,3,19,2024-2-1,2
U0068,9,11,9,2024-4-30,27
U0069,14,8,4,2024-5-3,16
U0070,12,10,4,2024-9-2,28
U0071,24,4,4,2024-3-12,4
U0072,6,2,0,2024-7-1,10
U0073,3,0,0,2024-6-11,13
U0074,16,15,19,2024-7-2,24
U0075,22,3,4,2024-5-18,28
U0076,6,12,0,2024-2-5,13
U0077,20,1,11,2024-4-6,20
U0078,8,2,0,2024-8-19,24
U0079,5,0,0,2024-9-24,10
U0080,22,7,7,2024-7-19,3
U0081,18,12,17,2024-1-9,12
U0082,0,0,0,2024-4-28,6
U0083,0,0,0,2024-5-14,19
U0084,5,0,0,2024-3-14,3
U0085,9,9,8,,14
U0086,29,2,2,2024-6-25,5
U0087,18,15,17,2024-5-13,15
U0088,5,0,0,2024-1-23,3
U0089,20,13,14,2024-1-13,24
U0090,15,10,10,2024-7-5,10
U0091,17,4,15,2024-3-11,8
U0092,29,0,12,2024-7-11,17
U0093,25,11,2,2024-6-23,22
U0094,10,9,15,2024-2-15,6
U0095,5,0,0,,13
U0096,27,6,12,2024-9-3,5
U0097,6,12,0,2024-4-19,17
U0098,9,0,11,2024-4-4,2
U0099,12,0,15,2024-6-12,27
U0100,23,2,5,2024-5-31,23
U0101,30,13,5,2024-1-27,30
U0102,21,0,8,2024-6-2,6
U0103,2,0,0,2024-7-19,9
U0104,10,3,11,2024-3-28,3
U0105,2,0,0,2024-7-4,7
U0106,25,2,16,2024-6-18,25
U0107,28,10,16,2024-1-14,10
U0108,30,6,7,2024-2-27,0
U0109,5,0,0,2024-7-5,6
U0110,3,0,0,2024-6-4,6
U0111,24,13,13,2024-6-7,9
U0112,26,0,13,2024-3-13,12
U0113,13,12,0,,0
U0114,15,9,15,2024-7-6,22
U0115,12,6,18,2024-8-26,15
U0116,23,9,17,,9
U0117,0,0,0,2024-3-9,18
U0118,26,11,6,2024-8-19,13
U0119,16,6,7,2024-1-28,27
U0120,29,8,9,2024-5-8,20
U0121,19,15,1,2024-9-28,30
U0122,13,6,16,2024-2-8,16
U0123,1,0,0,,14
U0124,2,0,0,2024-3-31,10
U0125,0,0,0,,14
U0126,12,4,6,2024-1-27,9
U0127,30,1,6,2024-9-6,20
U0128,28,0,15,2024-2-4,23
U0129,13,13,16,,9
U0130,27,1,6,2024-8-20,13
U0131,10,3,12,2024-6-23,22
U0132,16,11,20,2024-8-17,10
U0133,28,6,3,2024-7-1,9
U0134,19,10,11,2024-2-28,22
U0135,14,6,20,2024-4-19,8
U0136,16,0,18,2024-1-29,17
U0137,21,11,5,2024-8-6,4
U0138,5,0,0,2024-4-18,3
U0139,22,7,12,2024-1-12,16
U0140,9,5,13,2024-3-22,27
U0141,4,0,0,2024-8-27,28
U0142,23,11,16,2024-8-11,27
U0143,11,13,12,2024-3-30,15
U0144,27,5,12,2024-3-25,6
U0145,13,9,20,2024-8-1,19
U0146,11,0,16,2024-4-16,17
U0147,17,9,0,2024-7-5,21
U0148,4,0,0,2024-6-26,5
U0149,24,15,17,2024-7-7,3
U0150,18,1,0,2024-6-28,24
U0151,6,8,0,2024-2-2,4
U0152,17,13,15,2024-3-28,28
U0153,26,8,18,2024-6-15,10
U0154,10,10,11,2024-1-17,28
U0155,8,10,0,2024-6-4,10
U0156,22,11,13,2024-2-8,16
U0157,20,3,10,2024-9-12,17
U0158,29,12,7,2024-4-16,30
U0159,1,0,0,2024-8-6,15
U0160,20,6,1,2024-8-19,30
U0161,21,5,0,2024-3-30,15
U0162,9,9,1,2024-8-1,8
U0163,23,1,5,2024-9-17,26
U0164,9,10,4,2024-8-7,1
U0165,20,14,15,2024-9-11,28
U0166,10,9,11,2024-7-2,24
U0167,0,0,0,2024-6-14,11
U0168,22,3,0,2024-9-5,1
U0169,7,2,0,2024-6-13,6
U0170,28,6,19,2024-7-27,24
U0171,18,11,6,2024-1-27,2
U0172,17,6,13,2024-7-30,10
U0173,12,3,0,2024-6-21,2
U0174,6,0,0,2024-7-10,6
U0175,16,7,8,2024-1-3,9
U0176,28,2,15,2024-3-11,24
U0177,28,12,0,2024-6-18,21
U0178,6,12,0,2024-8-21,12
U0179,23,15,19,,11
U0180,8,14,0,2024-8-5,1
U0181,12,0,4,2024-9-12,17
U0182,30,11,17,2024-1-24,22
U0183,12,4,1,2024-1-25,21
U0184,19,2,7,2024-6-2,13
U0185,24,10,7,2024-7-27,10
U0186,0,0,0,2024-7-18,22
U0187,16,12,14,2024-4-3,13
U0188,3,0,0,2024-1-17,19
U0189,8,1,0,2024-2-22,18
U0190,9,8,2,2024-8-25,29
U0191,19,6,8,2024-3-24,13
U0192,16,8,4,,22
U0193,12,4,3,2024-4-2,23
U0194,1,0,0,2024-2-26,7
U0195,4,0,0,2024-4-24,17
U0196,19,0,6,2024-3-30,15
U0197,22,1,15,2024-5-24,25
U0198,12,4,9,2024-7-14,8
U0199,25,10,14,2024-3-9,9
U0200,10,10,5,2024-7-12,15
U0201,7,15,0,2024-2-19,28
U0202,5,0,0,2024-5-30,15
U0203,21,6,15,2024-5-14,2
U0204,17,1,18,2024-8-29,7
U0205,22,6,7,2024-6-10,9
U0206,28,15,18,2024-3-8,2
U0207,7,0,0,2024-6-17,5
U0208,27,6,5,2024-5-3,10
U0209,2,0,0,2024-6-9,23
U0210,11,14,20,2024-4-26,7
U0211,21,15,4,2024-5-30,20
U0212,29,6,13,2024-2-4,25
U0213,6,2,0,2024-6-26,16
U0214,0,0,0,2024-6-27,26
U0215,15,4,16,2024-6-22,22
U0216,0,0,0,2024-8-30,29
U0217,14,1,19,2024-6-13,28
U0218,28,11,8,2024-1-4,24
U0219,19,13,18,2024-1-23,20
U0220,25,9,10,2024-2-15,7
U0221,3,0,0,2024-6-3,8
U0222,19,11,8,2024-8-22,27
U0223,1,0,0,2024-2-2,26
U0224,25,6,5,2024-5-27,2
U0225,9,1,15,2024-8-4,0
U0226,22,14,13,2024-8-4,13
U0227,16,8,4,2024-2-19,11
U0228,22,14,19,2024-1-28,24
U0229,15,2,7,2024-1-2,14
U0230,16,6,7,2024-6-13,26
U0231,13,8,12,2024-7-18,28
U0232,30,0,18,2024-2-22,4
U0233,0,0,0,2024-8-19,19
U0234,2,0,0,2024-5-17,23
U0235,11,11,16,2024-7-4,23
U0236,1,0,0,2024-7-6,19
U0237,16,3,6,2024-4-16,30
U0238,22,8,4,2024-5-28,14
U0239,24,0,9,2024-5-19,13
U0240,20,10,0,2024-1-9,26
U0241,25,1,15,2024-3-24,12
U0242,7,2,0,,11
U0243,29,3,5,2024-5-30,13
U0244,30,7,16,2024-9-20,24
U0245,7,12,0,2024-7-27,5
U0246,29,2,2,2024-1-19,30
U0247,8,15,0,2024-8-14,22
U0248,25,1,19,2024-6-17,24
U0249,10,0,11,,1
U0250,2,0,0,2024-3-2,28
U0251,5,0,0,2024-3-2,13
U0252,19,1,19,2024-4-14,26
U0253,16,8,16,2024-8-17,15
U0254,4,0,0,2024-1-2,20
U0255,19,11,3,2024-8-14,1
U0256,20,9,20,2024-7-13,27
U0257,23,3,13,2024-1-16,7
U0258,8,4,0,2024-7-24,28
U0259,11,6,2,2024-8-4,19
U0260,8,8,0,2024-2-27,7
U0261,24,3,16,2024-7-5,6
U0262,2,0,0,2024-3-28,12
U0263,16,0,0,2024-5-14,14
U0264,6,9,0,2024-4-14,27
U0265,6,10,0,2024-6-9,21
U0266,24,5,18,2024-7-3,15
U0267,15,10,16,2024-7-5,14
U0268,17,10,0,2024-3-22,8
U0269,16,7,19,2024-2-1,9
U0270,3,0,0,2024-3-8,27
U0271,9,12,17,2024-7-31,3
U0272,20,4,17,2024-2-26,1
U0273,15,10,1,2024-7-17,27
U0274,24,11,8,2024-5-8,23
U0275,28,13,0,2024-8-10,28
U0276,22,2,19,2024-9-25,21
U0277,9,8,6,2024-9-11,17
U0278,4,0,0,2024-1-10,8
U0279,28,8,7,,6
U0280,11,3,12,2024-6-30,18
U0281,0,0,0,2024-3-11,15
U0282,14,4,5,,28
U0283,25,14,14,2024-5-12,3
U0284,29,1,4,2024-7-15,23
U0285,9,2,8,2024-6-20,24
U0286,7,1,0,2024-8-28,24
U0287,16,6,9,2024-5-13,3
U0288,27,4,10,2024-4-9,16
U0289,4,0,0,2024-8-4,5
U0290,1,0,0,2024-9-1,22
U0291,26,3,4,2024-9-19,1
U0292,6,10,0,2024-5-17,28
U0293,19,4,5,2024-2-13,0
U0294,11,8,15,2024-8-30,6
U0295,26,3,11,2024-9-27,21
U0296,21,15,19,2024-1-2,29
U0297,1,0,0,2024-9-21,29
U0298,20,13,8,2024-2-14,8
U0299,22,3,4,2024-4-28,1
U0300,25,3,12,2024-8-30,19
U0301,1,0,0,2024-3-22,23
U0302,14,3,15,2024-2-18,7
U0303,16,9,7,2024-3-26,10
U0304,13,7,4,2024-8-14,23
U0305,14,5,15,,24
U0306,14,8,5,2024-2-20,16
U0307,27,1,5,2024-9-14,5
U0308,10,12,4,2024-8-1,15
U0309,10,10,3,2024-9-18,23
U0310,0,0,0,2024-1-21,21
U0311,1,0,0,2024-2-5,3
U0312,24,4,10,2024-3-29,29
U0313,10,13,11,2024-1-26,28
U0314,6,2,0,2024-3-13,15
U0315,23,4,7,2024-1-28,6
U0316,10,3,4,2024-9-22,21
U0317,15,12,10,2024-5-2,23
U0318,25,13,1,2024-2-27,29
U0319,29,9,3,2024-9-20,4
U0320,27,2,12,2024-2-20,26
U0321,20,1,19,2024-5-10,30
U0322,20,0,18,2024-8-31,29
U0323,28,2,6,2024-1-18,1
U0324,26,2,5,2024-3-13,6
U0325,12,5,18,2024-6-23,2
U0326,22,6,14,2024-1-9,21
U0327,1,0,0,,0
U0328,20,7,8,2024-4-5,13
U0329,7,0,0,2024-3-25,12
U0330,12,3,11,2024-2-19,12
U0331,27,13,3,2024-3-4,9
U0332,14,14,2,2024-4-24,28
U0333,6,12,0,2024-2-18,13
U0334,6,10,0,2024-9-9,22
U0335,12,11,12,2024-4-17,11
U0336,2,0,0,2024-4-24,3
U0337,8,12,0,2024-1-31,26
U0338,5,0,0,2024-8-30,30
U0339,8,14,0,2024-6-19,16
U0340,15,7,10,2024-2-16,29
U0341,8,5,0,2024-4-24,8
U0342,2,0,0,2024-6-26,15
U0343,11,7,2,2024-4-29,16
U0344,24,6,13,2024-3-24,25
U0345,26,12,0,2024-1-25,16
U0346,2,0,0,2024-6-20,15
U0347,26,9,17,2024-9-6,22
U0348,13,3,12,2024-7-7,28
U0349,23,9,5,2024-7-25,20
U0350,7,7,0,2024-2-17,19
U0351,4,0,0,2024-8-19,14
U0352,19,9,9,,16
U0353,10,9,18,,17
U0354,13,12,10,2024-9-20,16
U0355,13,5,3,2024-2-24,9
U0356,22,5,7,2024-5-17,11
U0357,2,0,0,,27
U0358,20,0,6,2024-7-12,16
U0359,8,15,0,2024-6-21,20
U0360,16,8,18,2024-4-19,22
U0361,28,1,13,2024-3-6,23
U0362,24,10,13,2024-5-5,15
U0363,25,6,0,2024-6-19,19
U0364,25,0,10,,23
U0365,22,10,14,2024-2-23,28
U0366,5,0,0,2024-5-11,11
U0367,30,11,10,2024-7-12,14
U0368,22,0,4,2024-6-16,22
U0369,8,8,0,,18
U0370,20,5,20,2024-2-12,15
U0371,7,2,0,2024-9-26,2
U0372,13,13,18,2024-5-11,3
U0373,9,7,12,2024-5-22,9
U0374,17,12,12,2024-8-12,27
U0375,10,4,9,2024-5-30,19
U0376,2,0,0,2024-3-16,2
U0377,14,10,15,2024-1-29,14
U0378,16,14,2,2024-5-8,29
U0379,5,0,0,2024-6-5,30
U0380,22,15,2,2024-2-25,19
U0381,14,5,16,2024-7-3,26
U0382,21,2,2,2024-5-11,9
U0383,11,0,6,2024-5-14,13
U0384,23,15,4,2024-6-15,2
U0385,15,5,0,2024-5-25,20
U0386,15,14,14,2024-6-5,27
U0387,6,9,0,2024-7-4,19
U0388,1,0,0,2024-9-21,1
U0389,24,3,4,2024-5-29,29
U0390,12,1,6,2024-3-22,12
U0391,2,0,0,2024-9-18,18
U0392,8,11,0,2024-9-30,22
U0393,27,2,18,2024-7-20,29
U0394,29,11,3,2024-6-11,30
U0395,12,14,18,2024-4-27,5
U0396,0,0,0,2024-5-8,25
U0397,2,0,0,2024-2-12,7
U0398,15,2,2,2024-5-30,20
U0399,21,11,17,2024-5-1,22
U0400,8,10,0,2024-2-20,18
U0401,24,10,8,2024-8-11,25
U0402,2,0,0,2024-9-12,11
U0403,19,2,12,2024-9-26,3
U0404,12,9,10,2024-4-19,0
U0405,9,11,11,2024-9-4,17
U0406,0,0,0,2024-3-8,27
U0407,28,11,1,2024-8-13,20
U0408,23,5,13,2024-7-4,30
U0409,1,0,0,2024-3-18,27
U0410,1,0,0,2024-2-29,23
U0411,26,13,6,2024-6-11,24
U0412,23,8,13,2024-1-1,23
U0413,18,7,18,2024-9-26,29
U0414,4,0,0,2024-5-20,6
U0415,10,10,16,2024-4-5,30
U0416,13,4,10,2024-3-11,4
U0417,21,4,2,2024-8-21,24
U0418,16,3,12,2024-1-23,15
U0419,25,15,14,2024-2-5,21
U0420,6,6,0,2024-6-25,16
U0421,28,4,13,2024-9-1,30
U0422,27,9,20,,12
U0423,21,4,11,2024-8-7,12
U0424,10,8,11,2024-4-30,16
U0425,29,15,19,2024-9-7,27
U0426,19,5,19,2024-4-17,13
U0427,20,1,18,2024-7-9,17
U0428,29,5,2,2024-1-1,21
U0429,13,0,19,2024-9-28,19
U0430,26,4,12,2024-8-23,18
U0431,4,0,0,2024-4-1,16
U0432,14,2,13,2024-4-25,9
U0433,16,14,18,2024-2-14,4
U0434,7,5,0,2024-5-23,0
U0435,20,12,14,2024-7-8,0
U0436,25,10,12,2024-2-1,7
U0437,30,3,1,2024-6-26,5
U0438,17,7,5,2024-9-21,30
U0439,15,8,4,2024-2-17,12
U0440,15,4,6,2024-2-21,30
U0441,15,1,12,2024-5-18,25
U0442,12,9,8,2024-3-2,10
U0443,10,10,9,2024-4-30,1
U0444,8,15,0,2024-1-2,20
U0445,0,0,0,2024-4-7,7
U0446,4,0,0,2024-6-12,1
U0447,7,3,0,2024-6-7,28
U0448,9,7,18,2024-5-25,10
U0449,30,3,18,2024-8-20,29
U0450,15,9,11,2024-8-15,4
U0451,24,11,3,2024-1-7,8
U0452,3,0,0,2024-4-20,3
U0453,9,12,9,2024-3-16,3
U0454,11,4,7,2024-4-10,8
U0455,3,0,0,2024-1-17,24
U0456,28,11,14,2024-2-11,5
U0457,6,7,0,2024-8-23,1
U0458,14,1,0,2024-7-11,23
U0459,8,6,0,2024-3-9,14
U0460,21,1,8,2024-4-26,13
U0461,28,4,6,,11
U0462,0,0,0,2024-9-11,27
U0463,24,8,8,2024-3-28,3
U0464,4,0,0,2024-9-2,25
U0465,17,2,4,2024-1-15,7
U0466,20,7,9,2024-3-1,6
U0467,25,0,19,2024-2-12,10
U0468,5,0,0,2024-3-26,5
U0469,13,0,3,2024-8-9,26
U0470,26,3,13,2024-2-9,18
U0471,11,3,4,,9
U0472,25,6,13,2024-2-27,19
U0473,26,2,6,2024-9-14,11
U0474,20,9,3,2024-4-1,15
U0475,24,13,15,2024-3-24,13
U0476,13,9,14,2024-5-28,1
U0477,30,9,15,2024-7-3,7
U0478,10,5,8,2024-1-20,22
U0479,5,0,0,2024-2-9,20
U0480,18,2,8,2024-4-17,24
U0481,7,9,0,2024-8-25,18
U0482,29,7,4,2024-7-1,13
U0483,21,14,5,2024-7-26,27
U0484,12,15,4,2024-1-29,22
U0485,15,0,3,2024-9-30,2
U0486,11,11,5,,0
U0487,12,10,9,2024-5-31,17
U0488,5,0,0,2024-3-14,8
U0489,14,4,4,2024-7-18,25
U0490,11,4,20,,30
U0491,24,15,3,2024-3-5,20
U0492,8,15,0,2024-7-18,21
U0493,10,0,18,2024-8-29,18
U0494,21,4,15,2024-1-13,5
U0495,26,13,6,2024-1-10,24
U0496,8,1,0,2024-7-29,22
U0497,0,0,0,2024-6-27,18
U0498,7,9,0,2024-6-8,15
U0499,24,14,16,2024-8-31,1
U0500,9,12,2,2024-5-1,9
U0501,18,15,18,2024-8-18,24
U0502,20,14,0,2024-2-16,10
U0503,30,5,7,2024-5-17,6
U0504,16,11,8,2024-7-6,16
U0505,24,12,14,2024-7-17,30
U0506,18,13,6,2024-1-25,13
U0507,7,9,0,2024-2-24,17
U0508,19,2,3,2024-2-9,14
U0509,14,2,14,2024-4-8,12
U0510,11,6,10,2024-8-30,2
U0511,19,11,3,2024-6-18,4
U0512,11,0,1,2024-2-17,22
U0513,10,14,5,2024-9-23,24
U0514,7,13,0,2024-4-15,18
U0515,12,9,18,2024-2-14,14
U0516,21,12,11,,13
U0517,9,14,17,2024-4-29,15
U0518,20,5,7,2024-7-4,12
U0519,30,14,17,,4
U0520,5,0,0,2024-5-30,3
U0521,5,0,0,2024-3-30,30
U0522,21,12,10,2024-3-22,20
U0523,1,0,0,2024-3-19,30
U0524,27,6,0,2024-6-15,27
U0525,18,6,16,2024-7-20,6
U0526,8,13,0,2024-5-22,10
U0527,14,0,6,2024-4-23,9
U0528,1,0,0,2024-8-9,20
U0529,10,1,7,2024-6-1,10
U0530,8,14,0,2024-1-28,12
U0531,28,3,5,2024-6-22,24
U0532,8,3,0,2024-5-24,2
U0533,15,9,15,2024-4-14,8
U0534,27,15,3,2024-5-10,23
U0535,12,10,0,2024-8-19,7
U0536,11,1,9,2024-3-5,27
U0537,16,11,10,2024-9-3,3
U0538,28,5,6,2024-9-9,11
U0539,22,4,10,2024-8-13,23
U0540,22,1,2,2024-5-22,6
U0541,6,3,0,2024-6-20,29
U0542,19,2,6,2024-3-14,21
U0543,21,4,10,2024-3-28,29
U0544,24,15,20,2024-7-3,16
U0545,22,0,13,2024-8-6,20
U0546,27,9,6,2024-3-16,6
U0547,30,4,9,2024-8-18,21
U0548,0,0,0,2024-7-11,28
U0549,2,0,0,2024-9-3,9
U0550,30,4,7,2024-7-22,17
U0551,17,11,2,,26
U0552,23,7,14,2024-5-28,26
U0553,20,7,2,2024-9-18,20
U0554,14,4,19,2024-4-23,18
U0555,12,6,20,2024-8-7,27
U0556,24,2,2,,18
U0557,22,9,12,2024-6-24,22
U0558,27,7,7,2024-7-8,27
U0559,19,6,6,2024-2-17,11
U0560,5,0,0,2024-6-11,7
U0561,26,3,11,2024-4-3,29
U0562,14,13,8,2024-2-17,2
U0563,1,0,0,2024-5-13,5
U0564,8,2,0,2024-8-26,27
U0565,27,13,14,2024-2-1,29
U0566,7,12,0,2024-7-31,1
U0567,16,15,20,2024-1-14,1
U0568,17,9,2,2024-9-19,16
U0569,10,9,11,2024-9-26,24
U0570,28,13,8,2024-7-8,10
U0571,23,15,6,2024-9-14,18
U0572,4,0,0,2024-4-24,29
U0573,27,1,7,2024-6-13,1
U0574,27,15,20,2024-8-17,9
U0575,16,3,20,2024-8-17,1
U0576,14,3,16,2024-9-4,24
U0577,2,0,0,2024-6-27,0
U0578,27,10,5,2024-3-23,27
U0579,28,2,10,2024-1-30,5
U0580,11,3,9,2024-6-4,8
U0581,24,3,3,2024-9-28,3
U0582,22,11,15,2024-9-1,21
U0583,16,15,13,2024-9-20,14
U0584,7,14,0,2024-9-10,1
U0585,8,4,0,2024-9-27,6
U0586,20,7,17,2024-8-19,12
U0587,20,1,18,2024-8-8,22
U0588,24,6,4,2024-9-3,8
U0589,8,15,0,2024-6-11,5
U0590,7,3,0,2024-9-18,28
U0591,0,0,0,2024-9-28,7
U0592,4,0,0,,25
U0593,26,10,4,2024-8-12,15
U0594,18,11,1,2024-5-13,23
U0595,19,12,12,2024-2-25,7
U0596,22,0,17,2024-4-23,6
U0597,21,5,4,2024-3-22,2
U0598,14,12,18,2024-7-30,6
U0599,28,9,20,2024-3-20,9
U0600,22,4,18,2024-3-28,26
U0601,7,6,0,2024-2-24,20
U0602,17,12,8,,4
U0603,10,5,10,,9
U0604,9,9,17,2024-7-7,2
U0605,8,10,0,2024-7-16,9
U0606,27,9,1,2024-2-7,28
U0607,27,12,5,2024-9-5,20
U0608,5,0,0,2024-1-29,14
U0609,25,6,16,2024-4-2,3
U0610,8,14,0,,25
U0611,1,0,0,2024-7-11,16
U0612,4,0,0,2024-1-11,18
U0613,19,2,9,2024-6-8,28
U0614,28,8,11,2024-5-20,15
U0615,24,14,14,2024-2-25,27
U0616,8,15,0,2024-9-3,26
U0617,26,11,3,2024-5-27,12
U0618,28,0,17,2024-1-30,5
U0619,17,0,13,2024-9-9,27
U0620,24,11,18,2024-1-8,2
U0621,0,0,0,2024-4-23,24
U0622,9,14,3,2024-9-25,15
U0623,22,2,18,2024-5-16,25
U0624,13,2,20,,28
U0625,16,15,16,2024-8-21,15
U0626,16,8,2,2024-4-7,19
U0627,12,9,13,2024-5-7,27
U0628,22,8,5,2024-9-5,29
U0629,23,1,11,,21
U0630,28,1,9,2024-9-27,26
U0631,20,4,19,2024-8-22,23
U0632,19,15,19,2024-8-26,23
U0633,22,8,6,2024-4-29,30
U0634,30,8,3,2024-2-24,9
U0635,17,5,9,2024-3-14,23
U0636,20,8,10,2024-3-27,4
U0637,19,9,7,2024-7-30,30
U0638,1,0,0,2024-2-13,30
U0639,17,7,13,,20
U0640,22,14,10,2024-8-14,19
U0641,14,6,3,2024-1-27,5
U0642,12,12,6,,3
U0643,6,12,0,2024-1-29,1
U0644,28,13,6,2024-4-20,26
U0645,28,1,16,2024-7-22,3
U0646,26,9,13,2024-2-6,15
U0647,8,9,0,2024-7-12,4
U0648,30,12,3,2024-9-26,15
U0649,21,14,7,2024-5-4,28
U0650,5,0,0,2024-1-21,8
U0651,15,3,13,,17
U0652,5,0,0,2024-1-11,24
U0653,9,3,14,2024-3-17,4
U0654,14,2,9,2024-3-8,2
U0655,25,13,12,2024-3-27,22
U0656,14,2,2,2024-4-21,10
U0657,3,0,0,2024-1-22,28
U0658,3,0,0,2024-1-19,2
U0659,11,5,13,2024-2-9,28
U0660,14,15,3,2024-2-4,15
U0661,17,14,13,2024-4-10,24
U0662,14,7,0,2024-2-27,10
U0663,6,9,0,,0
U0664,15,14,10,2024-8-25,23
U0665,25,14,8,2024-9-22,29
U0666,30,9,7,2024-2-3,15
U0667,17,13,7,,21
U0668,2,0,0,2024-5-24,18
U0669,10,14,14,2024-2-10,13
U0670,28,9,0,2024-8-5,7
U0671,13,11,15,2024-4-1,2
U0672,3,0,0,2024-3-18,7
U0673,26,4,7,2024-7-14,4
U0674,28,14,12,2024-3-10,8
U0675,12,7,15,2024-6-17,21
U0676,5,0,0,2024-7-16,1
U0677,2,0,0,2024-8-16,21
U0678,23,7,2,2024-2-2,27
U0679,15,3,4,2024-9-5,23
U0680,6,3,0,,29
U0681,12,10,15,2024-6-16,8
U0682,29,13,8,2024-6-3,18
U0683,15,15,15,2024-7-18,12
U0684,27,10,0,2024-1-19,26
U0685,2,0,0,2024-5-21,2
U0686,7,9,0,2024-3-21,19
U0687,23,3,13,2024-2-12,28
U0688,16,6,19,2024-3-13,13
U0689,23,10,11,2024-5-14,22
U0690,15,8,7,2024-1-26,20
U0691,6,11,0,2024-8-26,20
U0692,2,0,0,2024-6-17,10
U0693,9,10,2,,2
U0694,0,0,0,2024-5-30,19
U0695,22,14,5,2024-5-8,12
U0696,20,14,3,2024-3-11,12
U0697,6,0,0,2024-5-5,5
U0698,28,14,14,2024-4-1,15
U0699,2,0,0,2024-8-25,2
U0700,18,1,16,2024-5-27,8
U0701,22,15,19,2024-9-11,11
U0702,26,14,9,2024-4-9,15
U0703,3,0,0,2024-3-20,1
U0704,12,1,0,,13
U0705,13,9,12,2024-4-15,10
U0706,13,11,19,2024-3-7,29
U0707,27,10,14,,22
U0708,24,6,4,2024-9-25,17
U0709,22,0,19,2024-8-5,28
U0710,3,0,0,2024-8-24,22
U0711,13,0,13,2024-9-22,13
U0712,5,0,0,2024-4-1,24
U0713,9,2,14,2024-9-7,16
U0714,23,15,4,2024-9-12,13
U0715,21,6,1,2024-2-1,5
U0716,21,3,8,,26
U0717,12,8,2,2024-6-2,24
U0718,19,3,17,2024-4-27,29
U0719,23,4,13,,27
U0720,17,15,5,2024-7-16,6
U0721,16,5,19,2024-8-17,14
U0722,23,11,6,2024-8-11,16
U0723,18,5,2,2024-7-12,11
U0724,20,3,19,,22
U0725,23,5,3,2024-8-10,24
U0726,13,11,20,2024-6-8,14
U0727,15,12,12,2024-2-5,14
U0728,28,14,14,2024-1-22,3
U0729,29,4,17,2024-9-9,21
U0730,12,8,20,2024-7-31,28
U0731,5,0,0,2024-6-16,14
U0732,29,1,14,2024-6-13,3
U0733,23,11,10,2024-5-15,5
U0734,2,0,0,2024-7-27,2
U0735,16,11,17,2024-8-24,18
U0736,4,0,0,2024-3-1,18
U0737,5,0,0,2024-8-18,18
U0738,9,10,12,2024-4-11,30
U0739,14,5,8,2024-8-26,6
U0740,18,10,15,2024-4-18,27
U0741,20,3,8,2024-3-30,22
U0742,20,15,0,2024-8-25,20
U0743,5,0,0,2024-3-15,27
U0744,4,0,0,2024-3-29,19
U0745,8,15,0,2024-7-12,25
U0746,15,9,3,2024-6-13,2
U0747,12,11,19,2024-9-30,15
U0748,20,13,4,2024-3-6,12
U0749,28,10,20,2024-6-5,23
