user_id,gender,age,region,register_time,member_level
U0058,男,28,西北,2024-4-17,V4
U0059,女,45,东北,2023-8-3,V1
U0060,未知,42,华东,2024-3-24,V1
U0061,男,47,西南,2023-10-26,V4
U0062,女,53,东北,2023-3-12,V2
U0063,未知,18,西北,2024-2-23,V1
U0064,男,25,华南,2024-5-26,V4
U0065,女,52,东北,2023-5-23,V3
U0066,未知,67,华南,2023-11-7,V4
U0067,男,25,西南,2023-9-5,V1
U0068,女,28,华北,2023-9-16,V2
U0069,未知,64,东北,2023-6-7,V2
U0070,男,34,西南,2024-3-9,V2
U0071,女,66,华南,2024-1-22,V3
U0072,未知,24,西南,2023-3-17,V4
U0073,男,37,华东,2024-4-4,V4
U0074,女,50,东北,2024-5-5,V2
U0075,未知,27,华东,2024-2-15,V3
U0076,男,28,华北,2024-3-4,V2
U0077,女,67,西南,2023-2-7,V1
U0078,未知,18,西南,2024-1-4,V4
U0079,男,49,西南,2023-3-29,V3
U0080,女,,西南,2023-4-22,V2
U0081,未知,69,华北,2023-9-12,V3
U0082,男,21,华南,2023-12-30,V1
U0083,女,54,西北,2023-6-20,V1
U0084,未知,23,华北,2023-2-15,V4
U0085,男,70,华南,2024-2-14,V3
U0086,女,66,东北,2023-12-6,V2
U0087,未知,26,华南,2024-3-16,V2
U0088,男,48,东北,2023-4-19,V2
U0089,女,28,华南,2023-1-11,V4
U0090,未知,56,西南,2023-4-11,V1
U0091,男,31,华北,2023-9-22,V2
U0092,女,66,华南,2023-8-16,V4
U0093,未知,30,西北,2023-8-15,V4
U0094,男,43,西北,2024-4-1,V4
U0095,女,59,华东,2024-1-19,V4
U0096,未知,51,华南,2024-2-5,V4
U0097,男,33,华北,2024-4-19,V4
U0098,女,39,西南,2024-5-27,V1
U0099,未知,,华东,2023-6-4,V1
U0100,男,55,华南,2023-12-20,V2
U0101,女,22,西南,2023-1-26,V3
U0102,未知,21,华北,2024-5-9,V1
U0103,男,20,华北,2023-4-18,V3
U0104,女,22,华东,2023-10-30,V2
U0105,未知,35,华东,2024-3-1,V1
U0106,男,31,华南,2023-3-29,V1
U0107,女,64,西南,2023-4-29,V2
U0108,未知,54,西北,2023-5-26,V2
U0109,男,33,西南,2023-12-23,V3
U0110,女,69,华北,2023-11-16,V3
U0111,未知,24,华北,2023-12-18,V2
U0112,男,45,华南,2024-4-11,V1
U0113,女,44,西北,2023-7-31,V4
U0114,未知,64,东北,2024-5-9,V3
U0115,男,59,华南,2023-12-23,V2
U0116,女,24,华北,2024-5-2,V1
U0117,未知,64,华北,2023-4-10,V1
U0118,男,24,西南,2024-3-24,V3
U0119,女,30,西北,2024-4-8,V3
U0120,未知,26,西南,2023-11-23,V4
U0121,男,35,西南,2023-3-10,V3
U0122,女,22,华南,2023-11-4,V4
U0123,未知,53,西南,2023-2-15,V2
U0124,男,59,华东,2023-4-28,V3
U0125,女,18,华东,2023-1-24,V4
U0126,未知,66,西南,2023-12-18,V3
U0127,男,28,西北,2023-4-22,V2
U0128,女,48,西南,2023-6-18,V2
U0129,未知,43,华北,2023-9-7,V4
U0130,男,28,华北,2023-6-28,V1
U0131,女,42,西北,2023-6-13,V2
U0132,未知,68,华南,2023-12-5,V2
U0133,男,36,华东,2024-3-12,V2
U0134,女,64,华东,2024-4-18,V2
U0135,未知,53,华南,2023-8-26,V1
U0136,男,49,西南,2024-2-19,V2
U0137,女,36,西北,2023-7-8,V1
U0138,未知,21,东北,2023-7-10,V3
U0139,男,52,东北,2024-3-18,V1
U0140,女,38,西南,2024-2-10,V4
U0141,未知,55,华南,2023-1-30,V3
U0142,男,51,西北,2023-7-22,V1
U0143,女,50,华东,2024-4-5,V1
U0144,未知,29,华东,2024-3-15,V1
U0145,男,22,西南,2024-2-3,V1
U0146,女,33,华北,2023-1-5,V1
U0147,未知,54,华南,2023-8-8,V1
U0148,男,56,东北,2023-7-30,V4
U0149,女,,华南,2023-10-13,V4
U0150,未知,60,西南,2023-3-6,V4
U0151,男,51,华南,2023-4-15,V1
U0152,女,34,华东,2023-7-11,V3
U0153,未知,63,西南,2024-1-10,V4
U0154,男,34,华东,2023-11-30,V2
U0155,女,60,西北,2023-7-21,V2
U0156,未知,47,西北,2024-4-13,V1
U0157,男,66,华北,2023-4-27,V3
U0158,女,18,华南,2023-9-26,V4
U0159,未知,54,西北,2024-5-16,V1
U0160,男,22,华南,2023-11-17,V3
U0161,女,50,华东,2024-2-2,V2
U0162,未知,40,西南,2024-2-6,V4
U0163,男,33,西北,2023-4-27,V1
U0164,女,28,西南,2023-12-23,V1
U0165,未知,52,西北,2023-12-27,V3
U0166,男,57,华南,2024-4-13,V1
U0167,女,69,西北,2023-6-26,V1
U0168,未知,18,东北,2023-11-1,V4
U0169,男,53,西北,2023-3-28,V2
U0170,女,60,华东,2023-5-18,V2
U0171,未知,26,华北,2023-11-17,V3
U0172,男,24,华东,2023-5-1,V2
U0173,女,27,西南,2023-9-2,V3
U0174,未知,56,华南,2023-11-9,V4
U0175,男,39,华南,2023-4-30,V3
U0176,女,58,西北,2023-7-7,V2
U0177,未知,50,华南,2024-1-18,V1
U0178,男,21,华北,2023-5-25,V4
U0179,女,45,华北,2024-2-2,V2
U0180,未知,20,西北,2024-3-4,V4
U0181,男,,西北,2023-5-22,V3
U0182,女,58,西南,2024-1-28,V2
U0183,未知,28,西北,2024-3-9,V1
U0184,男,53,华东,2023-7-10,V1
U0185,女,53,华东,2024-5-13,V1
U0186,未知,,华东,2023-6-27,V1
U0187,男,62,华北,2023-6-20,V4
U0188,女,52,东北,2024-5-16,V2
U0189,未知,,华南,2023-10-23,V1
U0190,男,53,西南,2023-5-24,V1
U0191,女,26,西北,2023-7-11,V1
U0192,未知,,西南,2023-11-19,V3
U0193,男,68,华北,2024-4-6,V2
U0194,女,20,西北,2023-2-24,V4
U0195,未知,31,西北,2024-1-3,V3
U0196,男,60,华北,2023-1-10,V3
U0197,女,67,华南,2024-5-11,V4
U0198,未知,44,西北,2023-5-20,V1
U0199,男,65,华南,2023-7-19,V1
U0200,女,33,华北,2024-1-29,V2
U0201,未知,69,西南,2024-5-21,V1
U0202,男,44,西北,2024-2-23,V3
U0203,女,,东北,2024-5-18,V3
U0204,未知,39,华南,2024-3-1,V3
U0205,男,44,西北,2024-3-30,V4
U0206,女,65,华南,2024-5-15,V1
U0207,未知,35,西北,2023-6-21,V1
U0208,男,62,西北,2023-3-26,V1
U0209,女,20,西北,2023-2-1,V1
U0210,未知,32,西南,2023-8-14,V2
U0211,男,47,东北,2023-10-27,V2
U0212,女,70,西北,2023-2-3,V3
U0213,未知,32,华南,2023-10-9,V3
U0214,男,60,西南,2023-8-19,V4
U0215,女,39,华东,2023-10-23,V3
U0216,未知,22,华南,2023-6-22,V1
U0217,男,35,华南,2024-4-13,V3
U0218,女,50,东北,2024-5-22,V3
U0219,未知,52,华东,2023-4-26,V2
U0220,男,19,西南,2023-4-27,V1
U0221,女,34,西北,2023-10-2,V4
U0222,未知,34,华南,2024-1-11,V4
U0223,男,,东北,2023-2-12,V4
U0224,女,40,东北,2024-3-27,V3
U0225,未知,38,东北,2023-8-12,V4
U0226,男,50,华东,2024-3-11,V4
U0227,女,54,西北,2023-4-15,V4
U0228,未知,20,西南,2023-9-11,V2
U0229,男,18,华南,2023-11-1,V1
U0230,女,69,东北,2023-2-3,V2
U0231,未知,64,西北,2024-4-5,V1
U0232,男,65,西北,2023-9-27,V2
U0233,女,41,华北,2023-12-23,V1
U0234,未知,60,东北,2023-3-31,V4
U0235,男,57,华东,2024-3-25,V4
U0236,女,25,西北,2023-5-1,V4
U0237,未知,37,西南,2023-8-31,V2
U0238,男,60,华北,2023-8-3,V4
U0239,女,43,西北,2023-12-26,V3
U0240,未知,53,东北,2024-3-14,V1
U0241,男,44,东北,2023-6-19,V2
U0242,女,42,西北,2023-5-23,V4
U0243,未知,29,西南,2023-7-31,V4
U0244,男,37,华北,2023-7-31,V1
U0245,女,18,东北,2023-3-2,V4
U0246,未知,31,华北,2023-12-26,V4
U0247,男,55,华东,2023-10-15,V1
U0248,女,38,西北,2023-6-22,V1
U0249,未知,46,东北,2023-11-28,V3
U0250,男,50,华东,2023-10-27,V3
U0251,女,68,华北,2023-10-24,V1
U0252,未知,60,华东,2023-10-1,V2
U0253,男,50,西南,2023-4-8,V3
U0254,女,57,华南,2023-5-19,V1
U0255,未知,70,西南,2024-2-26,V4
U0256,男,33,华北,2023-3-2,V2
U0257,女,32,西南,2023-10-11,V4
U0258,未知,27,东北,2023-5-10,V3
U0259,男,,华北,2023-5-16,V4
U0260,女,48,西南,2023-9-13,V2
U0261,未知,67,西北,2023-5-30,V1
U0262,男,44,西北,2023-11-26,V1
U0263,女,54,西南,2023-9-11,V2
U0264,未知,62,东北,2024-2-7,V4
U0265,男,43,东北,2024-5-16,V4
U0266,女,59,华东,2023-5-26,V2
U0267,未知,66,东北,2023-10-3,V1
U0268,男,24,华北,2024-2-29,V4
U0269,女,32,西北,2024-1-20,V3
U0270,未知,62,华北,2024-4-7,V2
U0271,男,21,西北,2023-3-19,V3
U0272,女,25,华南,2023-4-6,V3
U0273,未知,69,东北,2024-2-17,V1
U0274,男,51,西南,2023-10-12,V2
U0275,女,56,西北,2024-1-13,V4
U0276,未知,66,西南,2024-4-10,V4
U0277,男,57,华南,2024-5-14,V2
U0278,女,50,华北,2023-12-2,V1
U0279,未知,53,西南,2023-1-3,V4
U0280,男,28,西北,2023-4-6,V4
U0281,女,48,华南,2024-4-14,V4
U0282,未知,66,西北,2024-1-2,V1
U0283,男,58,华南,2023-3-6,V4
U0284,女,67,东北,2024-2-12,V4
U0285,未知,58,东北,2023-8-12,V3
U0286,男,46,东北,2024-3-15,V1
U0287,女,36,东北,2023-8-5,V4
U0288,未知,39,东北,2024-5-21,V1
U0289,男,52,华南,2023-10-2,V1
U0290,女,27,西北,2023-11-27,V4
U0291,未知,62,西南,2023-10-18,V4
U0292,男,31,华北,2023-12-12,V1
U0293,女,44,华北,2023-5-14,V1
U0294,未知,47,华南,2024-5-11,V1
U0295,男,31,西北,2023-12-18,V3
U0296,女,42,华南,2023-2-19,V2
U0297,未知,55,华北,2023-2-17,V4
U0298,男,19,华南,2023-4-12,V3
U0299,女,66,华南,2024-4-15,V3
U0300,未知,48,东北,2023-1-17,V1
U0301,男,,华北,2023-5-8,V2
U0302,女,66,东北,2023-6-11,V4
U0303,未知,44,东北,2024-3-27,V3
U0304,男,65,西南,2024-4-12,V4
U0305,女,56,华南,2023-1-1,V3
U0306,未知,49,西南,2024-3-14,V4
U0307,男,45,华南,2023-7-27,V1
U0308,女,42,西北,2023-5-16,V1
U0309,未知,61,东北,2023-11-6,V2
U0310,男,64,华南,2023-6-12,V1
U0311,女,47,华南,2023-10-8,V3
U0312,未知,57,华东,2023-4-6,V3
U0313,男,43,西北,2024-1-5,V3
U0314,女,60,东北,2023-9-14,V3
U0315,未知,,西北,2023-3-26,V1
U0316,男,26,西南,2024-1-16,V1
U0317,女,29,西南,2023-6-19,V2
U0318,未知,42,华南,2023-2-23,V4
U0319,男,47,华北,2024-2-10,V2
U0320,女,66,华南,2023-11-9,V4
U0321,未知,35,华东,2023-8-28,V1
U0322,男,44,华南,2024-3-15,V3
U0323,女,23,东北,2023-4-4,V2
U0324,未知,65,华东,2023-4-8,V2
U0325,男,40,华南,2023-1-2,V1
U0326,女,22,西南,2023-8-7,V4
U0327,未知,59,东北,2024-5-3,V2
U0328,男,,华南,2023-3-21,V4
U0329,女,,东北,2023-5-16,V2
U0330,未知,19,西南,2023-8-20,V3
U0331,男,33,华北,2024-3-31,V1
U0332,女,60,华北,2023-1-10,V4
U0333,未知,31,西北,2023-1-9,V1
U0334,男,34,华南,2023-12-18,V1
U0335,女,28,西北,2023-5-4,V4
U0336,未知,65,东北,2024-3-8,V4
U0337,男,67,华南,2023-5-16,V2
U0338,女,37,华北,2024-5-4,V4
U0339,未知,19,华东,2023-3-14,V1
U0340,男,54,西北,2023-8-23,V1
U0341,女,42,东北,2024-1-28,V4
U0342,未知,63,西北,2023-4-2,V4
U0343,男,55,华北,2023-4-15,V2
U0344,女,58,华北,2023-4-16,V2
U0345,未知,62,华东,2023-11-17,V2
U0346,男,61,东北,2024-1-12,V1
U0347,女,25,西北,2023-11-3,V4
U0348,未知,54,华北,2023-5-21,V3
U0349,男,40,东北,2024-1-27,V4
U0350,女,60,华北,2023-5-17,V4
U0351,未知,50,华东,2023-5-27,V2
U0352,男,18,华东,2023-3-12,V3
U0353,女,70,西南,2023-1-9,V4
U0354,未知,45,华南,2023-6-18,V3
U0355,男,58,东北,2024-3-26,V3
U0356,女,47,西南,2023-12-26,V4
U0357,未知,45,华东,2023-8-7,V2
U0358,男,51,东北,2023-6-5,V2
U0359,女,35,华北,2024-2-26,V4
U0360,未知,52,华东,2024-3-29,V3
U0361,男,47,西北,2023-8-11,V3
U0362,女,64,华北,2023-3-30,V2
U0363,未知,38,西南,2023-4-13,V2
U0364,男,23,东北,2023-5-24,V2
U0365,女,46,西南,2023-5-7,V3
U0366,未知,47,西南,2024-1-29,V3
U0367,男,60,东北,2023-12-26,V2
U0368,女,19,华北,2024-3-15,V2
U0369,未知,38,华南,2023-11-19,V3
U0370,男,31,华南,2023-5-24,V1
U0371,女,34,华南,2023-9-11,V3
U0372,未知,56,东北,2023-10-11,V4
U0373,男,35,华东,2023-3-28,V4
U0374,女,51,华东,2023-9-12,V3
U0375,未知,23,东北,2023-10-19,V4
U0376,男,44,西北,2023-1-28,V1
U0377,女,66,华北,2023-11-5,V1
U0378,未知,48,西北,2023-7-30,V1
U0379,男,49,东北,2023-7-13,V4
U0380,女,19,东北,2024-2-6,V2
U0381,未知,32,华东,2023-10-30,V1
U0382,男,33,华北,2023-2-25,V1
U0383,女,55,西南,2023-9-3,V2
U0384,未知,53,华北,2024-5-21,V3
U0385,男,45,华东,2024-1-31,V2
U0386,女,53,西南,2023-4-26,V3
U0387,未知,62,西南,2023-9-4,V3
U0388,男,37,华北,2024-5-26,V2
U0389,女,25,东北,2023-3-14,V1
U0390,未知,38,华南,2023-1-13,V3
U0391,男,52,华东,2024-1-5,V2
U0392,女,62,华东,2023-11-21,V1
U0393,未知,31,华南,2023-5-16,V3
U0394,男,35,西北,2024-2-1,V4
U0395,女,66,西北,2024-3-6,V1
U0396,未知,36,华东,2024-1-10,V2
U0397,男,30,华南,2023-6-26,V4
U0398,女,41,华南,2024-4-27,V2
U0399,未知,18,西南,2023-3-16,V3
U0400,男,26,东北,2023-1-18,V1
U0401,女,21,西北,2023-3-11,V4
U0402,未知,62,西北,2023-1-15,V4
U0403,男,58,西南,2023-9-26,V4
U0404,女,49,华北,2023-8-9,V3
U0405,未知,18,西北,2023-2-10,V1
U0406,男,48,西南,2023-3-3,V1
U0407,女,39,华南,2024-2-12,V3
U0408,未知,21,华北,2023-10-21,V2
U0409,男,48,华东,2024-5-28,V4
U0410,女,22,华南,2024-3-1,V2
U0411,未知,22,华北,2024-3-9,V3
U0412,男,61,东北,2024-2-16,V2
U0413,女,27,西南,2023-3-26,V2
U0414,未知,37,东北,2023-6-6,V3
U0415,男,33,华南,2023-10-12,V4
U0416,女,66,东北,2023-3-27,V2
U0417,未知,56,华北,2023-11-14,V1
U0418,男,32,华东,2023-3-22,V2
U0419,女,42,东北,2023-7-28,V2
U0420,未知,46,华南,2023-6-9,V1
U0421,男,55,华南,2023-12-1,V4
U0422,女,37,西北,2024-2-5,V1
U0423,未知,21,东北,2023-3-9,V4
U0424,男,65,华北,2023-11-14,V3
U0425,女,66,华北,2024-3-23,V3
U0426,未知,31,西北,2023-9-2,V2
U0427,男,23,东北,2023-3-1,V2
U0428,女,29,西南,2023-9-8,V3
U0429,未知,28,西南,2023-3-30,V1
U0430,男,,西北,2024-3-20,V3
U0431,女,56,华南,2023-4-29,V4
U0432,未知,20,华东,2024-4-9,V2
U0433,男,63,西南,2023-2-26,V1
U0434,女,47,东北,2023-11-13,V2
U0435,未知,32,华东,2023-6-29,V3
U0436,男,68,华北,2023-5-3,V1
U0437,女,55,华北,2023-1-13,V3
U0438,未知,30,西南,2023-5-21,V4
U0439,男,52,华南,2023-1-12,V3
U0440,女,27,华北,2023-6-17,V1
U0441,未知,70,华东,2024-5-23,V3
U0442,男,21,华南,2023-12-22,V2
U0443,女,37,西南,2023-9-23,V2
U0444,未知,70,华北,2023-6-20,V1
U0445,男,36,西南,2024-1-16,V2
U0446,女,47,华南,2023-5-10,V4
U0447,未知,62,华南,2023-10-3,V4
U0448,男,35,华南,2023-5-1,V1
U0449,女,49,西北,2023-1-31,V3
U0450,未知,56,东北,2023-12-10,V2
U0451,男,,西北,2024-3-15,V2
U0452,女,38,华东,2023-10-6,V3
U0453,未知,19,华南,2023-3-7,V3
U0454,男,61,东北,2023-9-27,V3
U0455,女,54,华南,2023-3-20,V3
U0456,未知,19,东北,2024-5-23,V2
U0457,男,61,华北,2024-4-11,V4
U0458,女,54,华东,2024-1-4,V1
U0459,未知,,东北,2023-2-26,V1
U0460,男,48,华东,2024-5-26,V3
U0461,女,46,西南,2023-6-20,V4
U0462,未知,29,华南,2024-1-12,V2
U0463,男,45,华北,2023-6-11,V2
U0464,女,49,西南,2023-9-19,V1
U0465,未知,48,东北,2023-4-16,V3
U0466,男,39,西北,2023-4-29,V4
U0467,女,24,东北,2023-8-22,V1
U0468,未知,39,华南,2023-1-3,V4
U0469,男,49,东北,2023-2-15,V3
U0470,女,43,华东,2023-1-13,V3
U0471,未知,53,东北,2023-9-8,V1
U0472,男,,华南,2023-2-17,V3
U0473,女,34,华南,2024-4-28,V4
U0474,未知,67,西北,2024-1-8,V4
U0475,男,50,华北,2024-1-28,V1
U0476,女,18,华北,2023-6-3,V3
U0477,未知,52,华北,2023-7-3,V2
U0478,男,21,西南,2023-2-6,V3
U0479,女,41,华北,2024-3-5,V1
U0480,未知,49,西南,2023-8-18,V1
U0481,男,66,东北,2023-11-26,V2
U0482,女,35,西北,2023-9-12,V1
U0483,未知,36,华南,2024-3-2,V1
U0484,男,62,西南,2023-11-24,V2
U0485,女,19,东北,2023-10-5,V2
U0486,未知,56,西北,2023-3-21,V4
U0487,男,63,西南,2024-1-17,V1
U0488,女,53,西北,2023-5-3,V2
U0489,未知,,东北,2024-5-29,V4
U0490,男,32,华北,2023-2-23,V1
U0491,女,25,华北,2023-7-3,V2
U0492,未知,25,东北,2023-8-17,V1
U0493,男,27,西北,2023-2-17,V4
U0494,女,63,华东,2024-2-15,V3
U0495,未知,63,西北,2023-3-12,V1
U0496,男,48,西南,2024-4-21,V1
U0497,女,33,西北,2023-10-17,V1
U0498,未知,27,东北,2023-11-15,V1
U0499,男,56,华南,2023-12-2,V2
U0500,女,26,华东,2023-3-30,V3
U0501,未知,35,西北,2024-4-12,V1
U0502,男,44,华东,2023-1-9,V2
U0503,女,68,华东,2024-1-13,V3
U0504,未知,70,西北,2023-7-25,V4
U0505,男,,西北,2023-10-26,V4
U0506,女,55,华北,2023-11-8,V4
U0507,未知,60,西北,2023-9-6,V4
U0508,男,27,西北,2024-4-20,V4
U0509,女,48,华北,2024-1-13,V3
U0510,未知,53,华北,2024-5-20,V1
U0511,男,42,华南,2023-7-20,V4
U0512,女,38,西北,2023-9-9,V1
U0513,未知,62,西南,2023-6-4,V1
U0514,男,42,华东,2023-1-7,V1
U0515,女,67,东北,2024-2-24,V1
U0516,未知,38,华北,2023-1-25,V1
U0517,男,63,东北,2023-8-27,V3
U0518,女,42,西北,2023-12-21,V1
U0519,未知,60,西南,2023-1-10,V3
U0520,男,59,华东,2023-12-10,V3
U0521,女,49,西北,2023-1-2,V1
U0522,未知,26,西南,2024-1-21,V3
U0523,男,55,华东,2023-11-11,V4
U0524,女,24,西南,2023-4-17,V4
U0525,未知,46,华北,2023-7-30,V4
U0526,男,47,西北,2023-9-1,V1
U0527,女,,西南,2024-3-5,V4
U0528,未知,59,西南,2024-5-18,V2
U0529,男,22,西北,2023-3-3,V2
U0530,女,34,华东,2023-5-26,V2
U0531,未知,62,西北,2023-10-14,V4
U0532,男,23,西南,2023-4-6,V3
U0533,女,61,东北,2023-2-14,V2
U0534,未知,42,华南,2023-8-26,V3
U0535,男,58,东北,2024-2-27,V3
U0536,女,66,华东,2024-1-17,V1
U0537,未知,52,西南,2024-4-14,V2
U0538,男,,华南,2023-3-28,V1
U0539,女,58,华东,2023-4-8,V1
U0540,未知,36,东北,2023-5-17,V1
U0541,男,65,华北,2024-2-8,V4
U0542,女,24,西北,2023-3-18,V1
U0543,未知,63,华东,2023-3-5,V3
U0544,男,46,华东,2024-3-21,V2
U0545,女,37,西南,2023-5-14,V3
U0546,未知,20,华南,2023-8-31,V2
U0547,男,21,东北,2023-10-26,V4
U0548,女,41,华东,2023-9-25,V2
U0549,未知,33,西北,2023-11-19,V2
U0550,男,54,华东,2024-2-7,V2
U0551,女,29,华东,2023-12-1,V2
U0552,未知,23,西南,2023-11-22,V3
U0553,男,42,华东,2024-4-8,V2
U0554,女,33,华南,2023-10-6,V1
U0555,未知,55,西南,2023-8-28,V2
U0556,男,47,华北,2023-3-18,V1
U0557,女,47,华北,2023-7-27,V4
U0558,未知,18,东北,2023-5-20,V1
U0559,男,47,东北,2023-4-22,V3
U0560,女,61,东北,2023-6-9,V1
U0561,未知,22,西南,2023-4-19,V3
U0562,男,40,华南,2023-6-18,V1
U0563,女,37,西南,2024-4-5,V2
U0564,未知,45,西南,2024-4-22,V4
U0565,男,47,西南,2023-11-18,V3
U0566,女,30,西南,2024-2-21,V3
U0567,未知,48,华东,2023-5-4,V2
U0568,男,42,东北,2024-1-2,V2
U0569,女,54,东北,2023-8-1,V1
U0570,未知,62,西北,2024-4-7,V3
U0571,男,60,华北,2023-11-12,V1
U0572,女,18,东北,2024-4-19,V2
U0573,未知,61,华南,2023-9-29,V3
U0574,男,21,华东,2023-5-3,V4
U0575,女,65,华北,2023-4-3,V4
U0576,未知,36,西北,2023-6-11,V3
U0577,男,32,西南,2023-11-8,V3
U0578,女,40,西北,2023-2-11,V2
U0579,未知,30,华北,2023-8-9,V3
U0580,男,61,东北,2023-12-2,V3
U0581,女,67,华北,2023-6-1,V4
U0582,未知,26,华东,2023-4-4,V2
U0583,男,58,华东,2023-9-12,V1
U0584,女,37,华南,2023-12-31,V3
U0585,未知,20,西南,2024-2-10,V2
U0586,男,64,东北,2023-2-20,V2
U0587,女,36,东北,2023-11-3,V4
U0588,未知,44,西北,2023-9-24,V3
U0589,男,26,西南,2023-6-28,V3
U0590,女,41,西北,2023-2-1,V2
U0591,未知,35,西南,2024-2-19,V3
U0592,男,34,华北,2024-4-8,V4
U0593,女,48,华北,2023-9-13,V4
U0594,未知,36,西南,2023-4-7,V4
U0595,男,39,华南,2024-4-18,V3
U0596,女,47,华北,2023-4-15,V3
U0597,未知,27,华南,2023-5-24,V4
U0598,男,32,华北,2023-5-5,V1
U0599,女,64,东北,2023-1-13,V2
U0600,未知,43,华东,2023-3-5,V1
U0601,男,69,华东,2023-8-16,V3
U0602,女,23,东北,2023-5-14,V2
U0603,未知,18,西南,2023-7-22,V2
U0604,男,25,西北,2024-2-15,V3
U0605,女,61,华东,2024-1-17,V1
U0606,未知,34,华北,2023-3-28,V1
U0607,男,70,华北,2023-9-23,V1
U0608,女,41,华东,2023-3-18,V1
U0609,未知,32,华东,2023-1-23,V4
U0610,男,57,西北,2023-3-8,V2
U0611,女,53,华东,2023-7-22,V1
U0612,未知,57,西南,2024-3-30,V3
U0613,男,22,西北,2023-5-12,V4
U0614,女,47,东北,2023-4-5,V2
U0615,未知,37,东北,2023-12-6,V3
U0616,男,25,华东,2023-5-6,V4
U0617,女,20,华北,2023-2-13,V2
U0618,未知,49,东北,2024-4-17,V3
U0619,男,33,华东,2023-2-21,V2
U0620,女,26,西南,2023-6-22,V4
U0621,未知,41,西南,2024-3-19,V1
U0622,男,65,华北,2024-2-9,V4
U0623,女,52,西北,2024-5-23,V3
U0624,未知,65,华北,2023-1-31,V1
U0625,男,44,华东,2024-1-27,V2
U0626,女,49,华北,2024-3-12,V2
U0627,未知,35,西北,2023-6-26,V2
U0628,男,,华南,2023-12-29,V4
U0629,女,46,华北,2023-8-8,V2
U0630,未知,33,东北,2023-7-11,V2
U0631,男,24,西北,2023-10-9,V2
U0632,女,41,华南,2023-10-14,V4
U0633,未知,59,西北,2024-4-1,V3
U0634,男,43,西北,2023-6-2,V1
U0635,女,25,东北,2023-2-5,V2
U0636,未知,70,华南,2023-9-9,V4
U0637,男,60,华北,2023-10-30,V2
U0638,女,58,华南,2024-5-25,V1
U0639,未知,19,华北,2024-2-26,V3
U0640,男,39,东北,2024-5-5,V3
U0641,女,26,西北,2023-3-4,V2
U0642,未知,31,华北,2023-3-31,V1
U0643,男,66,西南,2023-10-14,V2
U0644,女,55,华南,2024-1-28,V3
U0645,未知,32,华南,2023-5-21,V4
U0646,男,27,华东,2024-3-5,V4
U0647,女,56,西北,2023-7-24,V4
U0648,未知,,西北,2023-9-13,V1
U0649,男,27,东北,2023-1-20,V1
U0650,女,52,华北,2024-1-27,V3
U0651,未知,29,东北,2024-1-3,V1
U0652,男,19,东北,2024-5-6,V3
U0653,女,40,西南,2024-5-11,V3
U0654,未知,33,西北,2023-12-19,V2
U0655,男,19,西南,2024-5-29,V4
